site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,145,1340,99801,33.404,46.92
5695,369,26,568,3198,99801,33.568,46.775
5740,363,26,1778,53587,99801,33.645,46.384
28177,363,26,24,53587,99801,33.569,45.967
18107,363,26,486,53587,99801,33.65,46.416
18085,363,26,439,53587,99801,33.564,46.427
18105,363,26,673,53587,99801,33.646,46.431
22275,370,26,113,2877,99801,33.443,46.526
19762,363,26,860,53587,99801,33.606,46.393
28599,368,26,22,1819,99801,33.087,47.015
22301,364,26,1585,11778,99801,33.817,46.318
26728,371,26,475,16558,99801,33.103,46.129
21661,365,26,264,1340,99801,33.305,47.038
26348,365,26,49,1340,99801,33.43,46.849
18012,371,26,434,16558,99801,33.077,46.534
24523,363,26,534,53587,99801,33.643,46.437
5843,364,26,1122,11778,99801,33.871,46.244
18028,370,26,24,2877,99801,33.304,46.641
21680,369,26,114,3198,99801,33.572,46.719
26986,370,26,11,2877,99801,33.381,46.724
18102,363,26,618,53587,99801,33.641,46.398
5787,364,26,556,11778,99801,33.76,46.363
18100,363,26,514,53587,99801,33.633,46.384
23731,360,25,49,332,988,33.999,45.954
19768,363,26,238,53587,99801,33.646,46.423
18015,371,26,737,16558,99801,33.119,46.053
22295,363,26,377,53587,99801,33.718,46.346
24150,365,26,276,1340,99801,33.344,46.993
25219,369,26,16,3198,99801,33.46,46.914
28749,363,26,2,53587,99801,33.716,45.906
5763,366,26,480,8644,99801,33.699,46.659
14972,360,25,49,332,988,33.941,46.474
20822,371,26,448,16558,99801,33.122,46.052
5761,363,26,1676,53587,99801,33.694,46.298
21699,360,25,64,332,988,33.897,46.547
25588,366,26,146,8644,99801,33.755,46.583
28704,369,26,72,3198,99801,33.517,46.855
24527,363,26,58,53587,99801,33.824,45.958
26446,365,26,230,1340,99801,33.359,46.953
5701,363,26,1901,53587,99801,33.59,46.376
5790,366,26,605,8644,99801,33.766,46.564
5818,348,25,216,471,988,33.828,46.653
5485,371,26,1147,16558,99801,33.122,46.168
18099,363,26,423,53587,99801,33.632,46.416
5817,364,26,1162,11778,99801,33.825,46.309
14918,363,26,42,53587,99801,33.665,46.094
14941,357,25,67,185,988,33.807,45.621
23725,348,25,255,471,988,33.818,46.721
26238,363,26,99,53587,99801,33.631,46.395
19731,371,26,2339,16558,99801,33.417,46.263
19780,366,26,845,8644,99801,33.875,46.43
5890,364,26,674,11778,99801,33.929,46.182
26312,364,26,2,11778,99801,33.95,46.141
5694,363,26,202,53587,99801,33.567,46.484
18076,363,26,186,53587,99801,33.521,46.482
29251,370,26,8,2877,99801,33.268,46.634
5735,363,26,912,53587,99801,33.64,46.414
24980,363,26,107,53587,99801,33.528,46.497
14942,364,26,939,11778,99801,33.822,46.248
20844,363,26,238,53587,99801,33.442,46.787
27197,366,26,105,8644,99801,33.831,46.483
5751,363,26,136,53587,99801,33.665,46.389
25425,371,26,242,16558,99801,33.091,46.486
26275,368,26,18,1819,99801,33.106,46.802
5728,363,26,336,53587,99801,33.635,46.399
19772,363,26,22,53587,99801,33.707,46.229
26100,368,26,251,1819,99801,32.86,46.875
28770,370,26,4,2877,99801,33.243,46.436
5727,363,26,592,53587,99801,33.634,46.409
14938,366,26,1080,8644,99801,33.77,46.572
19764,363,26,1451,53587,99801,33.621,46.397
23957,363,26,255,53587,99801,33.638,46.426
18094,369,26,180,3198,99801,33.607,46.744
5737,363,26,465,53587,99801,33.642,46.428
25730,363,26,200,53587,99801,33.523,46.569
5715,363,26,579,53587,99801,33.621,46.378
23155,360,25,170,332,988,33.959,46.262
5741,363,26,770,53587,99801,33.645,46.413
23718,363,26,847,53587,99801,33.584,46.396
26985,368,26,109,1819,99801,33.004,46.94
28393,363,26,42,53587,99801,33.622,46.498
22279,371,26,55,16558,99801,33.508,46.407
5561,370,26,937,2877,99801,33.386,46.601
20859,363,26,733,53587,99801,33.616,46.388
5556,370,26,675,2877,99801,33.381,46.597
19766,363,26,482,53587,99801,33.638,46.44
5722,363,26,789,53587,99801,33.63,46.424
5603,371,26,835,16558,99801,33.455,46.215
27886,363,26,28,53587,99801,33.667,45.993
5481,371,26,776,16558,99801,33.115,46.163
14792,370,26,127,2877,99801,33.204,46.518
14900,363,26,741,53587,99801,33.627,46.356
14726,368,26,206,1819,99801,32.818,46.962
14901,363,26,926,53587,99801,33.628,46.39
5788,366,26,214,8644,99801,33.763,46.571
22289,363,26,527,53587,99801,33.636,46.415
5816,364,26,1192,11778,99801,33.824,46.314
23147,363,26,435,53587,99801,33.625,46.372
5717,363,26,875,53587,99801,33.625,46.411
5898,364,26,288,11778,99801,33.941,46.287
19777,364,26,1234,11778,99801,33.834,46.299
22297,366,26,2232,8644,99801,33.731,46.672
14821,370,26,427,2877,99801,33.397,46.596
23947,368,26,354,1819,99801,33.229,46.917
26276,368,26,117,1819,99801,33.185,46.964
19725,365,26,363,1340,99801,33.308,47.03
5725,363,26,1499,53587,99801,33.632,46.436
21662,371,26,1430,16558,99801,33.31,46.253
5796,366,26,363,8644,99801,33.774,46.551
25502,369,26,150,3198,99801,33.643,46.674
14907,363,26,425,53587,99801,33.633,46.419
27235,369,26,64,3198,99801,33.459,46.957
23146,363,26,451,53587,99801,33.624,46.402
18098,363,26,825,53587,99801,33.632,46.406
19783,357,25,81,185,988,33.885,45.639
22291,363,26,482,53587,99801,33.654,46.421
20873,363,26,200,53587,99801,33.75,45.968
22288,363,26,685,53587,99801,33.63,46.395
28529,366,26,128,8644,99801,33.961,46.363
14908,363,26,837,53587,99801,33.636,46.393
22742,370,26,72,2877,99801,33.216,46.403
20862,363,26,974,53587,99801,33.627,46.418
25731,363,26,673,53587,99801,33.635,46.436
24156,363,26,684,53587,99801,33.506,46.538
14916,366,26,493,8644,99801,33.664,46.854
22281,371,26,981,16558,99801,33.557,46.216
5773,369,26,1280,3198,99801,33.728,46.5
14886,369,26,440,3198,99801,33.565,46.814
14805,370,26,6,2877,99801,33.305,46.847
20889,366,26,250,8644,99801,33.924,46.358
18063,371,26,1267,16558,99801,33.47,46.187
20826,371,26,562,16558,99801,33.161,46.354
5484,371,26,1154,16558,99801,33.122,46.16
5739,363,26,934,53587,99801,33.644,46.407
14781,371,26,940,16558,99801,33.095,46.284
14910,363,26,1363,53587,99801,33.64,46.387
19774,366,26,581,8644,99801,33.772,46.559
5587,370,26,317,2877,99801,33.43,46.466
5729,363,26,984,53587,99801,33.635,46.432
5821,364,26,1546,11778,99801,33.833,46.304
14924,369,26,238,3198,99801,33.698,46.552
19714,371,26,1759,16558,99801,33.118,46.071
14795,370,26,110,2877,99801,33.253,46.543
26180,363,26,56,53587,99801,33.462,46.741
5719,363,26,443,53587,99801,33.629,46.433
26595,369,26,76,3198,99801,33.653,46.619
5732,363,26,2861,53587,99801,33.637,46.509
18122,363,26,899,53587,99801,33.717,46.289
20860,363,26,2737,53587,99801,33.616,46.403
5726,363,26,1221,53587,99801,33.633,46.379
14902,363,26,851,53587,99801,33.631,46.411
14911,363,26,509,53587,99801,33.642,46.402
20865,363,26,819,53587,99801,33.644,46.444
22299,363,26,80,53587,99801,33.775,46.159
24370,366,26,316,8644,99801,33.682,46.76
5820,364,26,1131,11778,99801,33.831,46.311
5734,363,26,968,53587,99801,33.639,46.421
5746,363,26,247,53587,99801,33.655,46.379
18005,368,26,651,1819,99801,33.009,46.887
18104,363,26,987,53587,99801,33.645,46.392
25429,371,26,20,16558,99801,33.58,46.266
22290,363,26,360,53587,99801,33.636,46.424
28188,363,26,7,53587,99801,33.636,46.395
29276,363,26,6,53587,99801,33.65,46.395
18101,363,26,656,53587,99801,33.638,46.405
24698,363,26,646,53587,99801,33.643,46.421
25500,371,26,250,16558,99801,33.465,46.194
26234,368,26,91,1819,99801,32.874,46.817
20864,363,26,611,53587,99801,33.639,46.433
18097,363,26,845,53587,99801,33.627,46.429
5721,363,26,710,53587,99801,33.63,46.4
20855,371,26,707,16558,99801,33.537,46.3
5831,364,26,347,11778,99801,33.853,46.27
19775,357,25,37,185,988,33.784,45.642
5582,365,26,13,1340,99801,33.423,46.9
5809,366,26,806,8644,99801,33.805,46.506
23467,363,26,892,53587,99801,33.589,46.309
26731,370,26,46,2877,99801,33.372,46.496
20866,363,26,763,53587,99801,33.645,46.417
24160,363,26,779,53587,99801,33.628,46.382
