site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,237,1754,137698,33.404,46.92
5695,369,26,1169,4796,137698,33.568,46.775
5740,363,26,2009,82831,137698,33.645,46.384
28177,363,26,22,82831,137698,33.569,45.967
18107,363,26,677,82831,137698,33.65,46.416
18085,363,26,502,82831,137698,33.564,46.427
18105,363,26,2947,82831,137698,33.646,46.431
22275,370,26,336,5738,137698,33.443,46.526
19762,363,26,845,82831,137698,33.606,46.393
28599,368,26,29,2445,137698,33.087,47.015
22301,364,26,1798,15474,137698,33.817,46.318
26728,371,26,398,13107,137698,33.103,46.129
21661,365,26,259,1754,137698,33.305,47.038
26348,365,26,146,1754,137698,33.43,46.849
18012,371,26,147,13107,137698,33.077,46.534
24523,363,26,1468,82831,137698,33.643,46.437
5843,364,26,168,15474,137698,33.871,46.244
21680,369,26,187,4796,137698,33.572,46.719
26986,370,26,43,5738,137698,33.381,46.724
18102,363,26,1136,82831,137698,33.641,46.398
5787,364,26,1258,15474,137698,33.76,46.363
18100,363,26,847,82831,137698,33.633,46.384
23731,360,25,184,1260,3132,33.999,45.954
19768,363,26,709,82831,137698,33.646,46.423
18015,371,26,616,13107,137698,33.119,46.053
22295,363,26,484,82831,137698,33.718,46.346
24150,365,26,308,1754,137698,33.344,46.993
25219,369,26,1,4796,137698,33.46,46.914
28749,363,26,8,82831,137698,33.716,45.906
5763,366,26,8,11553,137698,33.699,46.659
14972,360,25,338,1260,3132,33.941,46.474
20822,371,26,385,13107,137698,33.122,46.052
5761,363,26,1923,82831,137698,33.694,46.298
21699,360,25,152,1260,3132,33.897,46.547
25588,366,26,177,11553,137698,33.755,46.583
28704,369,26,242,4796,137698,33.517,46.855
24527,363,26,92,82831,137698,33.824,45.958
26446,365,26,359,1754,137698,33.359,46.953
5701,363,26,2083,82831,137698,33.59,46.376
5790,366,26,845,11553,137698,33.766,46.564
5818,348,25,756,1298,3132,33.828,46.653
5485,371,26,701,13107,137698,33.122,46.168
18099,363,26,32,82831,137698,33.632,46.416
5817,364,26,1404,15474,137698,33.825,46.309
14918,363,26,142,82831,137698,33.665,46.094
14941,357,25,280,574,3132,33.807,45.621
23725,348,25,542,1298,3132,33.818,46.721
26238,363,26,52,82831,137698,33.631,46.395
19731,371,26,1265,13107,137698,33.417,46.263
19780,366,26,1011,11553,137698,33.875,46.43
5890,364,26,1896,15474,137698,33.929,46.182
26312,364,26,116,15474,137698,33.95,46.141
5694,363,26,537,82831,137698,33.567,46.484
18076,363,26,434,82831,137698,33.521,46.482
29251,370,26,1,5738,137698,33.268,46.634
5735,363,26,2315,82831,137698,33.64,46.414
24980,363,26,390,82831,137698,33.528,46.497
14942,364,26,95,15474,137698,33.822,46.248
20844,363,26,135,82831,137698,33.442,46.787
27197,366,26,129,11553,137698,33.831,46.483
5751,363,26,241,82831,137698,33.665,46.389
25425,371,26,277,13107,137698,33.091,46.486
26275,368,26,58,2445,137698,33.106,46.802
5728,363,26,1140,82831,137698,33.635,46.399
19772,363,26,102,82831,137698,33.707,46.229
26100,368,26,54,2445,137698,32.86,46.875
28770,370,26,2,5738,137698,33.243,46.436
5727,363,26,25,82831,137698,33.634,46.409
14777,368,26,6,2445,137698,33.066,46.899
14938,366,26,1220,11553,137698,33.77,46.572
19764,363,26,32,82831,137698,33.621,46.397
23957,363,26,1555,82831,137698,33.638,46.426
18094,369,26,1,4796,137698,33.607,46.744
5737,363,26,209,82831,137698,33.642,46.428
25730,363,26,221,82831,137698,33.523,46.569
5715,363,26,962,82831,137698,33.621,46.378
23155,360,25,586,1260,3132,33.959,46.262
5741,363,26,12,82831,137698,33.645,46.413
23718,363,26,699,82831,137698,33.584,46.396
26985,368,26,212,2445,137698,33.004,46.94
28393,363,26,27,82831,137698,33.622,46.498
22279,371,26,221,13107,137698,33.508,46.407
5561,370,26,2042,5738,137698,33.386,46.601
20859,363,26,1281,82831,137698,33.616,46.388
5556,370,26,1348,5738,137698,33.381,46.597
19766,363,26,2126,82831,137698,33.638,46.44
5722,363,26,1371,82831,137698,33.63,46.424
5603,371,26,529,13107,137698,33.455,46.215
27886,363,26,44,82831,137698,33.667,45.993
5481,371,26,606,13107,137698,33.115,46.163
14792,370,26,629,5738,137698,33.204,46.518
14900,363,26,1049,82831,137698,33.627,46.356
14726,368,26,176,2445,137698,32.818,46.962
14901,363,26,37,82831,137698,33.628,46.39
5788,366,26,312,11553,137698,33.763,46.571
22289,363,26,22,82831,137698,33.636,46.415
5816,364,26,1396,15474,137698,33.824,46.314
23147,363,26,624,82831,137698,33.625,46.372
5717,363,26,2739,82831,137698,33.625,46.411
5898,364,26,469,15474,137698,33.941,46.287
19777,364,26,3273,15474,137698,33.834,46.299
22297,366,26,2161,11553,137698,33.731,46.672
14821,370,26,464,5738,137698,33.397,46.596
23947,368,26,474,2445,137698,33.229,46.917
26276,368,26,364,2445,137698,33.185,46.964
19725,365,26,398,1754,137698,33.308,47.03
5725,363,26,1687,82831,137698,33.632,46.436
21662,371,26,1098,13107,137698,33.31,46.253
5796,366,26,742,11553,137698,33.774,46.551
22294,369,26,1,4796,137698,33.697,46.522
25502,369,26,310,4796,137698,33.643,46.674
14907,363,26,801,82831,137698,33.633,46.419
27235,369,26,1,4796,137698,33.459,46.957
23146,363,26,20,82831,137698,33.624,46.402
18098,363,26,3784,82831,137698,33.632,46.406
19783,357,25,176,574,3132,33.885,45.639
