site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,66,742,78170,33.404,46.92
5695,369,26,264,2020,78170,33.568,46.775
5740,363,26,1481,37494,78170,33.645,46.384
28177,363,26,16,37494,78170,33.569,45.967
18107,363,26,343,37494,78170,33.65,46.416
18085,363,26,175,37494,78170,33.564,46.427
18105,363,26,483,37494,78170,33.646,46.431
22275,370,26,65,2156,78170,33.443,46.526
19762,363,26,382,37494,78170,33.606,46.393
28599,368,26,4,1260,78170,33.087,47.015
25725,371,26,40,20682,78170,32.692,46.168
22301,364,26,903,7416,78170,33.817,46.318
26728,371,26,944,20682,78170,33.103,46.129
21661,365,26,167,742,78170,33.305,47.038
26348,365,26,20,742,78170,33.43,46.849
18012,371,26,322,20682,78170,33.077,46.534
24523,363,26,414,37494,78170,33.643,46.437
5843,364,26,593,7416,78170,33.871,46.244
18028,370,26,46,2156,78170,33.304,46.641
21680,369,26,47,2020,78170,33.572,46.719
26986,370,26,6,2156,78170,33.381,46.724
18102,363,26,541,37494,78170,33.641,46.398
5787,364,26,215,7416,78170,33.76,46.363
18100,363,26,487,37494,78170,33.633,46.384
23731,360,25,26,168,1451,33.999,45.954
19768,363,26,169,37494,78170,33.646,46.423
18015,371,26,1038,20682,78170,33.119,46.053
22295,363,26,148,37494,78170,33.718,46.346
14903,363,26,14,37494,78170,33.631,46.415
24150,365,26,208,742,78170,33.344,46.993
25219,369,26,28,2020,78170,33.46,46.914
28749,363,26,4,37494,78170,33.716,45.906
5763,366,26,314,6400,78170,33.699,46.659
14972,360,25,15,168,1451,33.941,46.474
20822,371,26,680,20682,78170,33.122,46.052
5761,363,26,853,37494,78170,33.694,46.298
21699,360,25,30,168,1451,33.897,46.547
25588,366,26,77,6400,78170,33.755,46.583
28704,369,26,40,2020,78170,33.517,46.855
24527,363,26,23,37494,78170,33.824,45.958
26446,365,26,74,742,78170,33.359,46.953
5701,363,26,1348,37494,78170,33.59,46.376
5790,366,26,414,6400,78170,33.766,46.564
5818,348,25,599,1089,1451,33.828,46.653
5485,371,26,745,20682,78170,33.122,46.168
18099,363,26,292,37494,78170,33.632,46.416
5817,364,26,738,7416,78170,33.825,46.309
14918,363,26,16,37494,78170,33.665,46.094
14941,357,25,49,194,1451,33.807,45.621
23725,348,25,490,1089,1451,33.818,46.721
26238,363,26,81,37494,78170,33.631,46.395
26988,366,26,29,6400,78170,33.753,46.784
19731,371,26,2344,20682,78170,33.417,46.263
19780,366,26,516,6400,78170,33.875,46.43
5890,364,26,298,7416,78170,33.929,46.182
26312,364,26,64,7416,78170,33.95,46.141
5694,363,26,75,37494,78170,33.567,46.484
