site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,221,1896,99628,33.404,46.92
5695,369,26,770,4515,99628,33.568,46.775
5740,363,26,1497,59641,99628,33.645,46.384
28177,363,26,64,59641,99628,33.569,45.967
18107,363,26,364,59641,99628,33.65,46.416
18085,363,26,545,59641,99628,33.564,46.427
18105,363,26,794,59641,99628,33.646,46.431
22275,370,26,282,4119,99628,33.443,46.526
19762,363,26,859,59641,99628,33.606,46.393
28599,368,26,31,2030,99628,33.087,47.015
22301,364,26,1101,11386,99628,33.817,46.318
26728,371,26,144,7950,99628,33.103,46.129
21661,365,26,387,1896,99628,33.305,47.038
26348,365,26,125,1896,99628,33.43,46.849
18012,371,26,211,7950,99628,33.077,46.534
24523,363,26,701,59641,99628,33.643,46.437
5843,364,26,1676,11386,99628,33.871,46.244
18028,370,26,155,4119,99628,33.304,46.641
21680,369,26,202,4515,99628,33.572,46.719
26986,370,26,40,4119,99628,33.381,46.724
18102,363,26,739,59641,99628,33.641,46.398
5787,364,26,417,11386,99628,33.76,46.363
18100,363,26,447,59641,99628,33.633,46.384
23731,360,25,83,674,1971,33.999,45.954
19768,363,26,269,59641,99628,33.646,46.423
18015,371,26,161,7950,99628,33.119,46.053
22295,363,26,419,59641,99628,33.718,46.346
24150,365,26,326,1896,99628,33.344,46.993
25219,369,26,96,4515,99628,33.46,46.914
28749,363,26,18,59641,99628,33.716,45.906
5763,366,26,734,8091,99628,33.699,46.659
14972,360,25,129,674,1971,33.941,46.474
20822,371,26,170,7950,99628,33.122,46.052
5761,363,26,1534,59641,99628,33.694,46.298
21699,360,25,148,674,1971,33.897,46.547
25588,366,26,201,8091,99628,33.755,46.583
28704,369,26,157,4515,99628,33.517,46.855
24527,363,26,59,59641,99628,33.824,45.958
26446,365,26,304,1896,99628,33.359,46.953
5701,363,26,1686,59641,99628,33.59,46.376
5790,366,26,1126,8091,99628,33.766,46.564
5818,348,25,431,633,1971,33.828,46.653
5485,371,26,869,7950,99628,33.122,46.168
18099,363,26,331,59641,99628,33.632,46.416
5817,364,26,1239,11386,99628,33.825,46.309
14918,363,26,129,59641,99628,33.665,46.094
14941,357,25,276,664,1971,33.807,45.621
23474,364,26,197,11386,99628,33.981,46.048
23725,348,25,202,633,1971,33.818,46.721
26238,363,26,150,59641,99628,33.631,46.395
26988,366,26,155,8091,99628,33.753,46.784
19731,371,26,407,7950,99628,33.417,46.263
19780,366,26,684,8091,99628,33.875,46.43
5890,364,26,502,11386,99628,33.929,46.182
26312,364,26,119,11386,99628,33.95,46.141
5694,363,26,241,59641,99628,33.567,46.484
18076,363,26,344,59641,99628,33.521,46.482
29251,370,26,50,4119,99628,33.268,46.634
5735,363,26,1261,59641,99628,33.64,46.414
24980,363,26,291,59641,99628,33.528,46.497
14942,364,26,813,11386,99628,33.822,46.248
20844,363,26,277,59641,99628,33.442,46.787
27197,366,26,81,8091,99628,33.831,46.483
5751,363,26,359,59641,99628,33.665,46.389
25425,371,26,380,7950,99628,33.091,46.486
26275,368,26,44,2030,99628,33.106,46.802
5728,363,26,479,59641,99628,33.635,46.399
19772,363,26,213,59641,99628,33.707,46.229
26100,368,26,40,2030,99628,32.86,46.875
28770,370,26,25,4119,99628,33.243,46.436
5727,363,26,1731,59641,99628,33.634,46.409
14777,368,26,337,2030,99628,33.066,46.899
14938,366,26,689,8091,99628,33.77,46.572
19764,363,26,1355,59641,99628,33.621,46.397
23957,363,26,955,59641,99628,33.638,46.426
18094,369,26,279,4515,99628,33.607,46.744
5737,363,26,515,59641,99628,33.642,46.428
25730,363,26,171,59641,99628,33.523,46.569
5715,363,26,589,59641,99628,33.621,46.378
23155,360,25,314,674,1971,33.959,46.262
5741,363,26,1567,59641,99628,33.645,46.413
23718,363,26,451,59641,99628,33.584,46.396
26985,368,26,141,2030,99628,33.004,46.94
28393,363,26,14,59641,99628,33.622,46.498
22279,371,26,116,7950,99628,33.508,46.407
5561,370,26,905,4119,99628,33.386,46.601
20859,363,26,505,59641,99628,33.616,46.388
5556,370,26,746,4119,99628,33.381,46.597
19766,363,26,450,59641,99628,33.638,46.44
5722,363,26,887,59641,99628,33.63,46.424
5603,371,26,270,7950,99628,33.455,46.215
27886,363,26,54,59641,99628,33.667,45.993
5481,371,26,792,7950,99628,33.115,46.163
14792,370,26,421,4119,99628,33.204,46.518
14900,363,26,705,59641,99628,33.627,46.356
14726,368,26,166,2030,99628,32.818,46.962
14901,363,26,1166,59641,99628,33.628,46.39
5788,366,26,342,8091,99628,33.763,46.571
22289,363,26,667,59641,99628,33.636,46.415
5816,364,26,1077,11386,99628,33.824,46.314
23147,363,26,754,59641,99628,33.625,46.372
5717,363,26,960,59641,99628,33.625,46.411
5898,364,26,472,11386,99628,33.941,46.287
19777,364,26,745,11386,99628,33.834,46.299
22297,366,26,484,8091,99628,33.731,46.672
14821,370,26,468,4119,99628,33.397,46.596
23947,368,26,390,2030,99628,33.229,46.917
26276,368,26,219,2030,99628,33.185,46.964
19725,365,26,489,1896,99628,33.308,47.03
5725,363,26,733,59641,99628,33.632,46.436
21662,371,26,413,7950,99628,33.31,46.253
5796,366,26,372,8091,99628,33.774,46.551
22294,369,26,559,4515,99628,33.697,46.522
25502,369,26,226,4515,99628,33.643,46.674
14907,363,26,437,59641,99628,33.633,46.419
27235,369,26,154,4515,99628,33.459,46.957
23146,363,26,856,59641,99628,33.624,46.402
18098,363,26,1626,59641,99628,33.632,46.406
19783,357,25,220,664,1971,33.885,45.639
22291,363,26,408,59641,99628,33.654,46.421
20873,363,26,117,59641,99628,33.75,45.968
22288,363,26,1348,59641,99628,33.63,46.395
28529,366,26,541,8091,99628,33.961,46.363
14908,363,26,973,59641,99628,33.636,46.393
22742,370,26,192,4119,99628,33.216,46.403
20862,363,26,1009,59641,99628,33.627,46.418
25731,363,26,720,59641,99628,33.635,46.436
24156,363,26,1213,59641,99628,33.506,46.538
14916,366,26,548,8091,99628,33.664,46.854
22281,371,26,102,7950,99628,33.557,46.216
5773,369,26,1068,4515,99628,33.728,46.5
14886,369,26,661,4515,99628,33.565,46.814
14805,370,26,78,4119,99628,33.305,46.847
20889,366,26,236,8091,99628,33.924,46.358
28985,371,26,5,7950,99628,33.439,46.083
18063,371,26,525,7950,99628,33.47,46.187
20826,371,26,425,7950,99628,33.161,46.354
5484,371,26,770,7950,99628,33.122,46.16
5739,363,26,1299,59641,99628,33.644,46.407
14781,371,26,668,7950,99628,33.095,46.284
14910,363,26,1128,59641,99628,33.64,46.387
19774,366,26,853,8091,99628,33.772,46.559
5587,370,26,353,4119,99628,33.43,46.466
5729,363,26,1224,59641,99628,33.635,46.432
5821,364,26,1671,11386,99628,33.833,46.304
14924,369,26,230,4515,99628,33.698,46.552
19714,371,26,441,7950,99628,33.118,46.071
14795,370,26,278,4119,99628,33.253,46.543
26180,363,26,163,59641,99628,33.462,46.741
5719,363,26,524,59641,99628,33.629,46.433
26595,369,26,113,4515,99628,33.653,46.619
5732,363,26,1158,59641,99628,33.637,46.509
18122,363,26,1623,59641,99628,33.717,46.289
20860,363,26,1013,59641,99628,33.616,46.403
5726,363,26,1186,59641,99628,33.633,46.379
14902,363,26,903,59641,99628,33.631,46.411
14911,363,26,896,59641,99628,33.642,46.402
20865,363,26,592,59641,99628,33.644,46.444
22299,363,26,93,59641,99628,33.775,46.159
24370,366,26,393,8091,99628,33.682,46.76
5820,364,26,825,11386,99628,33.831,46.311
5734,363,26,1787,59641,99628,33.639,46.421
5746,363,26,328,59641,99628,33.655,46.379
18005,368,26,533,2030,99628,33.009,46.887
18104,363,26,718,59641,99628,33.645,46.392
25429,371,26,497,7950,99628,33.58,46.266
22290,363,26,1604,59641,99628,33.636,46.424
18101,363,26,1163,59641,99628,33.638,46.405
24698,363,26,902,59641,99628,33.643,46.421
25500,371,26,96,7950,99628,33.465,46.194
26234,368,26,129,2030,99628,32.874,46.817
20864,363,26,654,59641,99628,33.639,46.433
18097,363,26,1039,59641,99628,33.627,46.429
5721,363,26,260,59641,99628,33.63,46.4
20855,371,26,488,7950,99628,33.537,46.3
5831,364,26,532,11386,99628,33.853,46.27
19775,357,25,168,664,1971,33.784,45.642
5582,365,26,44,1896,99628,33.423,46.9
5809,366,26,652,8091,99628,33.805,46.506
23467,363,26,281,59641,99628,33.589,46.309
26731,370,26,126,4119,99628,33.372,46.496
20866,363,26,880,59641,99628,33.645,46.417
24160,363,26,1217,59641,99628,33.628,46.382
