site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,80,542,24554,33.404,46.92
5695,369,26,220,1226,24554,33.568,46.775
5740,363,26,319,13670,24554,33.645,46.384
28177,363,26,16,13670,24554,33.569,45.967
18107,363,26,161,13670,24554,33.65,46.416
18085,363,26,146,13670,24554,33.564,46.427
18105,363,26,216,13670,24554,33.646,46.431
22275,370,26,66,990,24554,33.443,46.526
19762,363,26,114,13670,24554,33.606,46.393
28599,368,26,4,784,24554,33.087,47.015
22301,364,26,229,2107,24554,33.817,46.318
26728,371,26,38,3224,24554,33.103,46.129
21661,365,26,86,542,24554,33.305,47.038
26348,365,26,35,542,24554,33.43,46.849
18012,371,26,80,3224,24554,33.077,46.534
24523,363,26,126,13670,24554,33.643,46.437
5843,364,26,190,2107,24554,33.871,46.244
18028,370,26,57,990,24554,33.304,46.641
21680,369,26,79,1226,24554,33.572,46.719
26986,370,26,9,990,24554,33.381,46.724
18102,363,26,148,13670,24554,33.641,46.398
5787,364,26,143,2107,24554,33.76,46.363
18100,363,26,109,13670,24554,33.633,46.384
23731,360,25,62,283,679,33.999,45.954
19768,363,26,63,13670,24554,33.646,46.423
18015,371,26,78,3224,24554,33.119,46.053
22295,363,26,208,13670,24554,33.718,46.346
24150,365,26,96,542,24554,33.344,46.993
25219,369,26,29,1226,24554,33.46,46.914
28749,363,26,4,13670,24554,33.716,45.906
5763,366,26,224,2011,24554,33.699,46.659
14972,360,25,32,283,679,33.941,46.474
20822,371,26,87,3224,24554,33.122,46.052
5761,363,26,413,13670,24554,33.694,46.298
21699,360,25,50,283,679,33.897,46.547
25588,366,26,21,2011,24554,33.755,46.583
28704,369,26,31,1226,24554,33.517,46.855
24527,363,26,21,13670,24554,33.824,45.958
26446,365,26,109,542,24554,33.359,46.953
5701,363,26,485,13670,24554,33.59,46.376
5790,366,26,77,2011,24554,33.766,46.564
5818,348,25,132,204,679,33.828,46.653
5485,371,26,161,3224,24554,33.122,46.168
18099,363,26,90,13670,24554,33.632,46.416
5817,364,26,160,2107,24554,33.825,46.309
14918,363,26,56,13670,24554,33.665,46.094
14941,357,25,27,192,679,33.807,45.621
23474,364,26,93,2107,24554,33.981,46.048
23725,348,25,72,204,679,33.818,46.721
26238,363,26,24,13670,24554,33.631,46.395
26988,366,26,15,2011,24554,33.753,46.784
19731,371,26,339,3224,24554,33.417,46.263
19780,366,26,201,2011,24554,33.875,46.43
5890,364,26,109,2107,24554,33.929,46.182
26312,364,26,70,2107,24554,33.95,46.141
5694,363,26,69,13670,24554,33.567,46.484
18076,363,26,121,13670,24554,33.521,46.482
29251,370,26,19,990,24554,33.268,46.634
5735,363,26,184,13670,24554,33.64,46.414
24980,363,26,96,13670,24554,33.528,46.497
14942,364,26,137,2107,24554,33.822,46.248
20844,363,26,79,13670,24554,33.442,46.787
27197,366,26,28,2011,24554,33.831,46.483
5751,363,26,52,13670,24554,33.665,46.389
25425,371,26,49,3224,24554,33.091,46.486
26275,368,26,6,784,24554,33.106,46.802
5728,363,26,149,13670,24554,33.635,46.399
19772,363,26,25,13670,24554,33.707,46.229
26100,368,26,58,784,24554,32.86,46.875
28770,370,26,7,990,24554,33.243,46.436
5727,363,26,232,13670,24554,33.634,46.409
14777,368,26,127,784,24554,33.066,46.899
14938,366,26,130,2011,24554,33.77,46.572
19764,363,26,350,13670,24554,33.621,46.397
23957,363,26,92,13670,24554,33.638,46.426
18094,369,26,126,1226,24554,33.607,46.744
5737,363,26,110,13670,24554,33.642,46.428
25730,363,26,51,13670,24554,33.523,46.569
5715,363,26,141,13670,24554,33.621,46.378
23155,360,25,139,283,679,33.959,46.262
5741,363,26,383,13670,24554,33.645,46.413
23718,363,26,121,13670,24554,33.584,46.396
26985,368,26,46,784,24554,33.004,46.94
28393,363,26,5,13670,24554,33.622,46.498
22279,371,26,46,3224,24554,33.508,46.407
5561,370,26,182,990,24554,33.386,46.601
20859,363,26,127,13670,24554,33.616,46.388
5556,370,26,156,990,24554,33.381,46.597
19766,363,26,121,13670,24554,33.638,46.44
5722,363,26,165,13670,24554,33.63,46.424
5603,371,26,194,3224,24554,33.455,46.215
27886,363,26,40,13670,24554,33.667,45.993
5481,371,26,184,3224,24554,33.115,46.163
14792,370,26,155,990,24554,33.204,46.518
14900,363,26,176,13670,24554,33.627,46.356
14726,368,26,96,784,24554,32.818,46.962
14901,363,26,295,13670,24554,33.628,46.39
5788,366,26,35,2011,24554,33.763,46.571
22289,363,26,111,13670,24554,33.636,46.415
5816,364,26,183,2107,24554,33.824,46.314
23147,363,26,94,13670,24554,33.625,46.372
5717,363,26,180,13670,24554,33.625,46.411
5898,364,26,155,2107,24554,33.941,46.287
19777,364,26,161,2107,24554,33.834,46.299
22297,366,26,191,2011,24554,33.731,46.672
14821,370,26,62,990,24554,33.397,46.596
23947,368,26,145,784,24554,33.229,46.917
26276,368,26,82,784,24554,33.185,46.964
19725,365,26,125,542,24554,33.308,47.03
5725,363,26,237,13670,24554,33.632,46.436
21662,371,26,290,3224,24554,33.31,46.253
5796,366,26,65,2011,24554,33.774,46.551
22294,369,26,237,1226,24554,33.697,46.522
25502,369,26,45,1226,24554,33.643,46.674
14907,363,26,106,13670,24554,33.633,46.419
27235,369,26,32,1226,24554,33.459,46.957
23146,363,26,269,13670,24554,33.624,46.402
18098,363,26,384,13670,24554,33.632,46.406
19783,357,25,99,192,679,33.885,45.639
22291,363,26,111,13670,24554,33.654,46.421
20873,363,26,53,13670,24554,33.75,45.968
22288,363,26,587,13670,24554,33.63,46.395
28529,366,26,205,2011,24554,33.961,46.363
14908,363,26,213,13670,24554,33.636,46.393
22742,370,26,82,990,24554,33.216,46.403
20862,363,26,169,13670,24554,33.627,46.418
25731,363,26,158,13670,24554,33.635,46.436
24156,363,26,213,13670,24554,33.506,46.538
14916,366,26,217,2011,24554,33.664,46.854
22281,371,26,27,3224,24554,33.557,46.216
5773,369,26,170,1226,24554,33.728,46.5
14886,369,26,163,1226,24554,33.565,46.814
14805,370,26,18,990,24554,33.305,46.847
20889,366,26,144,2011,24554,33.924,46.358
28985,371,26,1,3224,24554,33.439,46.083
18063,371,26,221,3224,24554,33.47,46.187
20826,371,26,258,3224,24554,33.161,46.354
5484,371,26,240,3224,24554,33.122,46.16
5739,363,26,260,13670,24554,33.644,46.407
14781,371,26,320,3224,24554,33.095,46.284
14910,363,26,258,13670,24554,33.64,46.387
19774,366,26,137,2011,24554,33.772,46.559
5587,370,26,78,990,24554,33.43,46.466
5729,363,26,231,13670,24554,33.635,46.432
5821,364,26,219,2107,24554,33.833,46.304
14924,369,26,65,1226,24554,33.698,46.552
