site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,73,1071,78495,33.404,46.92
5695,369,26,559,2606,78495,33.568,46.775
5740,363,26,2112,49673,78495,33.645,46.384
28177,363,26,21,49673,78495,33.569,45.967
18107,363,26,496,49673,78495,33.65,46.416
18085,363,26,291,49673,78495,33.564,46.427
18105,363,26,748,49673,78495,33.646,46.431
22275,370,26,101,2696,78495,33.443,46.526
19762,363,26,602,49673,78495,33.606,46.393
28599,368,26,26,1319,78495,33.087,47.015
22301,364,26,1266,10464,78495,33.817,46.318
26728,371,26,140,4999,78495,33.103,46.129
21661,365,26,213,1071,78495,33.305,47.038
26348,365,26,35,1071,78495,33.43,46.849
18012,371,26,100,4999,78495,33.077,46.534
24523,363,26,587,49673,78495,33.643,46.437
5843,364,26,841,10464,78495,33.871,46.244
18028,370,26,20,2696,78495,33.304,46.641
21680,369,26,92,2606,78495,33.572,46.719
26986,370,26,8,2696,78495,33.381,46.724
18102,363,26,690,49673,78495,33.641,46.398
5787,364,26,374,10464,78495,33.76,46.363
18100,363,26,781,49673,78495,33.633,46.384
23731,360,25,47,325,832,33.999,45.954
19768,363,26,271,49673,78495,33.646,46.423
18015,371,26,82,4999,78495,33.119,46.053
22295,363,26,269,49673,78495,33.718,46.346
24150,365,26,248,1071,78495,33.344,46.993
25219,369,26,60,2606,78495,33.46,46.914
28749,363,26,4,49673,78495,33.716,45.906
5763,366,26,427,5667,78495,33.699,46.659
14972,360,25,71,325,832,33.941,46.474
20822,371,26,109,4999,78495,33.122,46.052
5761,363,26,1265,49673,78495,33.694,46.298
21699,360,25,54,325,832,33.897,46.547
25588,366,26,115,5667,78495,33.755,46.583
28704,369,26,64,2606,78495,33.517,46.855
24527,363,26,30,49673,78495,33.824,45.958
26446,365,26,115,1071,78495,33.359,46.953
5701,363,26,1560,49673,78495,33.59,46.376
5790,366,26,616,5667,78495,33.766,46.564
5818,348,25,199,304,832,33.828,46.653
5485,371,26,381,4999,78495,33.122,46.168
18099,363,26,494,49673,78495,33.632,46.416
5817,364,26,1171,10464,78495,33.825,46.309
14918,363,26,36,49673,78495,33.665,46.094
14941,357,25,63,203,832,33.807,45.621
23474,364,26,103,10464,78495,33.981,46.048
23725,348,25,105,304,832,33.818,46.721
26238,363,26,163,49673,78495,33.631,46.395
26988,366,26,37,5667,78495,33.753,46.784
19731,371,26,314,4999,78495,33.417,46.263
19780,366,26,675,5667,78495,33.875,46.43
5890,364,26,445,10464,78495,33.929,46.182
26312,364,26,66,10464,78495,33.95,46.141
5694,363,26,179,49673,78495,33.567,46.484
18076,363,26,141,49673,78495,33.521,46.482
29251,370,26,22,2696,78495,33.268,46.634
5735,363,26,1015,49673,78495,33.64,46.414
24980,363,26,145,49673,78495,33.528,46.497
14942,364,26,658,10464,78495,33.822,46.248
20844,363,26,120,49673,78495,33.442,46.787
27197,366,26,107,5667,78495,33.831,46.483
5751,363,26,132,49673,78495,33.665,46.389
25425,371,26,155,4999,78495,33.091,46.486
26275,368,26,7,1319,78495,33.106,46.802
5728,363,26,362,49673,78495,33.635,46.399
19772,363,26,38,49673,78495,33.707,46.229
26100,368,26,56,1319,78495,32.86,46.875
28770,370,26,4,2696,78495,33.243,46.436
5727,363,26,629,49673,78495,33.634,46.409
14777,368,26,206,1319,78495,33.066,46.899
14938,366,26,926,5667,78495,33.77,46.572
19764,363,26,1175,49673,78495,33.621,46.397
23957,363,26,310,49673,78495,33.638,46.426
18094,369,26,165,2606,78495,33.607,46.744
5737,363,26,455,49673,78495,33.642,46.428
25730,363,26,133,49673,78495,33.523,46.569
5715,363,26,721,49673,78495,33.621,46.378
23155,360,25,153,325,832,33.959,46.262
5741,363,26,779,49673,78495,33.645,46.413
23718,363,26,543,49673,78495,33.584,46.396
26985,368,26,91,1319,78495,33.004,46.94
28393,363,26,40,49673,78495,33.622,46.498
22279,371,26,71,4999,78495,33.508,46.407
5561,370,26,838,2696,78495,33.386,46.601
20859,363,26,593,49673,78495,33.616,46.388
5556,370,26,691,2696,78495,33.381,46.597
19766,363,26,571,49673,78495,33.638,46.44
5722,363,26,752,49673,78495,33.63,46.424
5603,371,26,162,4999,78495,33.455,46.215
27886,363,26,52,49673,78495,33.667,45.993
5481,371,26,432,4999,78495,33.115,46.163
14792,370,26,121,2696,78495,33.204,46.518
14900,363,26,952,49673,78495,33.627,46.356
14726,368,26,97,1319,78495,32.818,46.962
14901,363,26,1152,49673,78495,33.628,46.39
5788,366,26,260,5667,78495,33.763,46.571
22289,363,26,502,49673,78495,33.636,46.415
5816,364,26,1121,10464,78495,33.824,46.314
23147,363,26,442,49673,78495,33.625,46.372
5717,363,26,891,49673,78495,33.625,46.411
5898,364,26,262,10464,78495,33.941,46.287
19777,364,26,1068,10464,78495,33.834,46.299
22297,366,26,415,5667,78495,33.731,46.672
14821,370,26,370,2696,78495,33.397,46.596
23947,368,26,291,1319,78495,33.229,46.917
26276,368,26,59,1319,78495,33.185,46.964
19725,365,26,378,1071,78495,33.308,47.03
5725,363,26,784,49673,78495,33.632,46.436
21662,371,26,362,4999,78495,33.31,46.253
5796,366,26,319,5667,78495,33.774,46.551
22294,369,26,333,2606,78495,33.697,46.522
25502,369,26,86,2606,78495,33.643,46.674
14907,363,26,425,49673,78495,33.633,46.419
27235,369,26,82,2606,78495,33.459,46.957
23146,363,26,534,49673,78495,33.624,46.402
18098,363,26,926,49673,78495,33.632,46.406
19783,357,25,72,203,832,33.885,45.639
22291,363,26,473,49673,78495,33.654,46.421
20873,363,26,167,49673,78495,33.75,45.968
22288,363,26,802,49673,78495,33.63,46.395
28529,366,26,180,5667,78495,33.961,46.363
14908,363,26,994,49673,78495,33.636,46.393
