site_id,city_id,province_id,site_accum,city_accum,province_accum,lat,lon
26706,365,26,71,546,53531,33.404,46.92
5695,369,26,228,1957,53531,33.568,46.775
5740,363,26,338,16470,53531,33.645,46.384
28177,363,26,17,16470,53531,33.569,45.967
18107,363,26,98,16470,53531,33.65,46.416
18085,363,26,198,16470,53531,33.564,46.427
18105,363,26,192,16470,53531,33.646,46.431
22275,370,26,88,1911,53531,33.443,46.526
19762,363,26,183,16470,53531,33.606,46.393
28599,368,26,11,1345,53531,33.087,47.015
22301,364,26,250,2398,53531,33.817,46.318
26728,371,26,436,24288,53531,33.103,46.129
21661,365,26,96,546,53531,33.305,47.038
26348,365,26,30,546,53531,33.43,46.849
18012,371,26,604,24288,53531,33.077,46.534
24523,363,26,160,16470,53531,33.643,46.437
5843,364,26,293,2398,53531,33.871,46.244
18028,370,26,38,1911,53531,33.304,46.641
21680,369,26,56,1957,53531,33.572,46.719
26986,370,26,6,1911,53531,33.381,46.724
18102,363,26,138,16470,53531,33.641,46.398
5787,364,26,172,2398,53531,33.76,46.363
18100,363,26,90,16470,53531,33.633,46.384
23731,360,25,34,232,1250,33.999,45.954
19768,363,26,57,16470,53531,33.646,46.423
18015,371,26,1004,24288,53531,33.119,46.053
22295,363,26,203,16470,53531,33.718,46.346
24150,365,26,112,546,53531,33.344,46.993
25219,369,26,18,1957,53531,33.46,46.914
28749,363,26,3,16470,53531,33.716,45.906
5763,366,26,171,4616,53531,33.699,46.659
14972,360,25,2,232,1250,33.941,46.474
20822,371,26,2212,24288,53531,33.122,46.052
5761,363,26,472,16470,53531,33.694,46.298
21699,360,25,53,232,1250,33.897,46.547
25588,366,26,46,4616,53531,33.755,46.583
28704,369,26,32,1957,53531,33.517,46.855
24527,363,26,17,16470,53531,33.824,45.958
26446,365,26,104,546,53531,33.359,46.953
5701,363,26,915,16470,53531,33.59,46.376
5790,366,26,216,4616,53531,33.766,46.564
5818,348,25,445,876,1250,33.828,46.653
5485,371,26,490,24288,53531,33.122,46.168
18099,363,26,72,16470,53531,33.632,46.416
5817,364,26,142,2398,53531,33.825,46.309
14918,363,26,29,16470,53531,33.665,46.094
14941,357,25,31,142,1250,33.807,45.621
23725,348,25,431,876,1250,33.818,46.721
26238,363,26,31,16470,53531,33.631,46.395
26988,366,26,132,4616,53531,33.753,46.784
19731,371,26,2878,24288,53531,33.417,46.263
19780,366,26,204,4616,53531,33.875,46.43
5890,364,26,124,2398,53531,33.929,46.182
26312,364,26,99,2398,53531,33.95,46.141
5694,363,26,79,16470,53531,33.567,46.484
18076,363,26,119,16470,53531,33.521,46.482
29251,370,26,10,1911,53531,33.268,46.634
5735,363,26,242,16470,53531,33.64,46.414
24980,363,26,62,16470,53531,33.528,46.497
14942,364,26,175,2398,53531,33.822,46.248
20844,363,26,101,16470,53531,33.442,46.787
27197,366,26,24,4616,53531,33.831,46.483
5751,363,26,35,16470,53531,33.665,46.389
25425,371,26,222,24288,53531,33.091,46.486
26275,368,26,6,1345,53531,33.106,46.802
5728,363,26,63,16470,53531,33.635,46.399
19772,363,26,18,16470,53531,33.707,46.229
26100,368,26,348,1345,53531,32.86,46.875
28770,370,26,9,1911,53531,33.243,46.436
5727,363,26,169,16470,53531,33.634,46.409
14777,368,26,121,1345,53531,33.066,46.899
14938,366,26,264,4616,53531,33.77,46.572
19764,363,26,332,16470,53531,33.621,46.397
23957,363,26,61,16470,53531,33.638,46.426
18094,369,26,82,1957,53531,33.607,46.744
5737,363,26,94,16470,53531,33.642,46.428
25730,363,26,53,16470,53531,33.523,46.569
5715,363,26,148,16470,53531,33.621,46.378
23155,360,25,143,232,1250,33.959,46.262
5741,363,26,209,16470,53531,33.645,46.413
23718,363,26,513,16470,53531,33.584,46.396
26985,368,26,57,1345,53531,33.004,46.94
28393,363,26,3,16470,53531,33.622,46.498
22279,371,26,36,24288,53531,33.508,46.407
5561,370,26,193,1911,53531,33.386,46.601
20859,363,26,123,16470,53531,33.616,46.388
5556,370,26,154,1911,53531,33.381,46.597
19766,363,26,156,16470,53531,33.638,46.44
5722,363,26,146,16470,53531,33.63,46.424
5603,371,26,1185,24288,53531,33.455,46.215
27886,363,26,24,16470,53531,33.667,45.993
5481,371,26,458,24288,53531,33.115,46.163
14792,370,26,964,1911,53531,33.204,46.518
14900,363,26,188,16470,53531,33.627,46.356
14726,368,26,244,1345,53531,32.818,46.962
14901,363,26,274,16470,53531,33.628,46.39
5788,366,26,27,4616,53531,33.763,46.571
